step,train_loss,val_loss,lr,elapsed_time,tokens_per_sec
0,3.7405,3.7688,0.0003,0.4215,38870.5490
500,1.7939,1.9217,0.0003,0.0610,287523.7777
1000,1.4477,1.6383,0.0003,0.0556,287052.1923
1500,1.3118,1.5600,0.0003,0.0569,288035.4830
2000,1.2279,1.5079,0.0003,0.0578,287346.1435
2500,1.1517,1.4986,0.0003,0.0597,285859.5444
3000,1.0929,1.5084,0.0003,0.0571,288070.1365
3500,1.0297,1.5094,0.0003,0.0528,286851.4298
4000,0.9680,1.5449,0.0003,0.0574,287325.7791
4500,0.9054,1.5846,0.0003,0.0555,286658.2421
4999,0.8362,1.6111,0.0003,0.0531,287478.6120
