step,train_loss,val_loss,lr,elapsed_time,tokens_per_sec
0,3.7405,3.7688,0.0003,0.4093,40029.8926
500,1.7939,1.9217,0.0003,0.0558,292771.5165
0,3.7405,3.7688,0.0003,0.3119,52532.1634
500,1.7922,1.9198,0.0003,0.0742,232069.7225
1000,1.4477,1.6391,0.0003,0.0760,215443.6756
1500,1.3109,1.5590,0.0003,0.0629,261153.3578
2000,1.2266,1.5072,0.0003,0.0624,268647.8032
2500,1.1518,1.4983,0.0003,0.0677,233286.4745
3000,1.0915,1.5039,0.0003,0.0602,273412.4164
3500,1.0304,1.5032,0.0003,0.0604,262797.6759
4000,0.9689,1.5453,0.0003,0.0689,236554.3108
4500,0.9044,1.5828,0.0003,0.0593,247885.8632
4999,0.8361,1.6108,0.0003,0.0651,249257.1169
